4270;M;Boy af Xique DK;SIA a;28-05-1990;GCCF NS 051656;15237;SIA a;15346;OSH b
4274;F;Maya Aviaja;XLH ns 11;31-03-1991;FD RX 7228;18914;BSH ns 12;29418;BSH ns 11
4316;M;Jawhara's Luigi;OSH c;03-08-1990;FD RX 6768;1364;BAL c;19144;OSH c
4317;M;Jawhara's Leros;OSH c;03-08-1990;FD RX 6769;1364;BAL c;19144;OSH c
4360;M;Misriya's Bruno;SIA b 21;...;FD LO 34083;1354;OSH b 24;75;OSH b 24
4381;F;Blue Felicity's Luna;SIA d;17-08-1991;FD LO 64625;15698;OSH d;32527;SIA f
4410;M;Dar-Lin's Hey Jude of Kitty Charm;PER e;...;CFA 0114-009663 V111;8150;PER a;;
4439;F;DK Micheyl's Camilla;OSH n 25;19-12-1990;FD RX 7069;47469;OSH bs 25;23504;BAL n
4456;M;Baldrian Mie-mie DK;OSH b;26-07-1990;FD LO 60141;20222;SIA c;7355;OSH n 24
4541;F;Nanette von Schaephuysen;BSH x;...;1.DEKZV LO 075995;4627;BSH a;4633;...
4578;M;Anis 90-122;SIA a;17-08-1990;FD LO 60460;4147;OSH a;4577;SIA n
4581;M;Alfi 90-125;OSH a;17-08-1990;FD LO 60463;4147;OSH a;4577;SIA n
4601;M;Idole du Mont Popa;SBI n;...;FFF RX 5241;;;2688;SBI n
4603;M;Fleuretto black Jefferson;OSH n;...;FD LO 50585;45638;SIA n 21;4602;OSH b
4604;F;Fleuretto bronce Marilla;OSH b;...;FD LO 49409;15373;OSH n;15205;SIA n
4610;F;Atlanta v. Grindelberg;OSH n;...;1.DEKZV LO 080645;15237;SIA a;11455;OSH b
4615;M;Nissen's Juan;SIA n;28-09-1987;FD LO 49510;7450;OSH n;15206;SIA n
4635;F;Xenia von Schaephuysen;BSH w 62;...;MU.R87.BK.D.073;11917;EXO w 62;4629;BSH g
4736;F;Pendlemist Tutti Frutti;OSH h;30-04-1987;FD LO 48269;1215;OSH n;1216;SIA h
4740;M;Blue Felicity's Easy-cat;OSH n;29-09-1988;FD LO 53340;15698;OSH d;4739;SIA f
4745;M;Blue Felicity's Kermit;OSH d;04-09-1990;FD LO 60484;4740;OSH n;15700;SIA f
4772;M;Rarmis 90-129;OSH b;24-07-1990;FD LO 60493;4849;OSH b;16493;SIA n
4775;M;DK Haslund's Max;OSH n 24;18-02-1992;FD LO 66439;7986;SIA n;25705;OSH b 24
4788;F;Blue Felicity's Dixie;OSH h;30-07-1987;FD LO 48878;31024;OSH b;91;SIA d
4798;M;Las Perlas-sin Cepetto;SBI n 21;...;WCF DE 0107 RIEX;6773;SBI a;15481;XLH ns 11
4911;F;Sussi;PER a 33;...;FD RX 4048;;;7672;PER n 33
4972;M;DK Mozart's Asterix;SIA n;13-07-1990;FD LO 59940;3470;OSH n;31955;OSH n 24
4981;F;Persille Mie-mie DK;OSH n;26-07-1990;FD LO 60140;20222;SIA c;7355;OSH n 24
5097;M;DK Laxey's Ben;XSH n 03;07-03-1992;FD RX REG 1582;31170;BSH a;27175;MAN n 03 52
5105;F;Kasimir Black Tulip;BSH n;...;SVERAK LO 25637;2630;BSH a;;
5141;F;Adonesh Rea Ripple;OSH b;...;GCCF SRNS 120386;15388;OSH b 22;;
5261;F;Midas Dolly of Castilia;PER g;...;CFA 0151-013370 V0282;6394;PER d;;
5278;F;Jourdan's Curly Mixi;CRX f;...;FD RX 2485;15710;CRX;15712;XSH
5299;F;DK Chagall's Bernadette;XSH a 03;07-02-1992;FD RX REG 1538;13887;PER a 03;26731;BSH a
5346;F;Mystery Girl of Pacilak;PER f;29-03-1990;FD RX REG 1409;;;11689;PER f 03
5366;F;DK Player's Odds on Olympia;OSH b;11-06-1993;FD LO 72127;33126;OSH n;47650;SIA b
5410;M;Winnetou's Fire-Fox;SIA d;22-06-1989;FD LO 56147;15395;OSH n 24;50244;SIA h
5489;F;Pegasus Belamy;OSH a;16-07-1984;FD LO 37812;15237;SIA a;15361;OSH a
5502;F;Shwechinthe Cabora;SBI b;...;GCCF EX 063552;4246;XLH n 33;4131;XLH b 33
5517;F;Antina af Xique DK;SIA c;30-05-1990;FD RX 6764;1364;BAL c;6265;SIA b
5576;M;Amigo af Xique DK;SIA c;30-05-1990;FD RX 6762;1364;BAL c;6265;SIA b
5589;F;Sphinx Quality Street;OSH b;11-08-1989;FD LO 56823;3238;OSH a;30289;SIA h
5664;M;Sphinx Zodiac;SIA b 21;15-11-1990;FD LO 61311;3404;OSH b 24;7005;SIA b
5671;M;DK Mozart's Apollon;SIA n 21;13-07-1990;FD LO 59938;3470;OSH n;31955;OSH n 24
5672;M;Nissen's Sunny Boy;SIA b;06-01-1990;FD LO 58295;5532;SIA n;5965;OSH n
5841;M;Canasta's Patrich;OSH b;07-08-1990;FD RX REG 1417;5532;SIA n;27994;OSH b
5842;M;Canasta's Benjamin;OSH b;07-08-1990;FD RX REG 1418;5532;SIA n;27994;OSH b
5843;M;Canasta's Sylvester;OSH n;07-08-1990;FD RX REG 1419;5532;SIA n;27994;OSH b
5844;M;Canasta's Rickie;SIA n;07-08-1990;FD RX REG 1420;5532;SIA n;27994;OSH b
5845;M;Canasta's Alexander;SIA n;07-08-1990;FD RX REG 1421;5532;SIA n;27994;OSH b
5868;M;Allegretto's Buster;OSH c;...;FD LO 28823;631;SIA c;714;OSH c
5870;F;Misriya's Tabby Melissa;SIA n 21;22-08-1990;FD LO 61092;30446;OSH n 23;15448;SIA n 21
5871;M;Fleuretto black Jingo;OSH n;...;FD LO 50584;45638;SIA n 21;4602;OSH b
5891;M;DK Grandezza's Wimba Sanakijana;XSH n 24;26-12-1990;FD RX REG 1449;11931;RUS;9727;SOK n 22
5916;M;DK Haslund's Sveske;OSH n;18-02-1992;FD LO 66438;7986;SIA n;25705;OSH b 24
5965;F;Winnetou's Ebony-Image;OSH n;19-05-1987;FD LO 47313;2952;SIA n;50242;OSH n 24
6031;F;Fleuretto mixed Troubles;OSH f;14-10-1990;FD LO 60948;4849;OSH b;11107;SIA f
6235;M;Misriya's Umba-Bumba;SIA n;01-07-1993;FD LO 72841;30446;OSH n 23;16746;SIA n 21
6242;M;Micado of Pacilak;PER d;29-03-1990;FD RX REG 1405;;;11689;PER f 03
6243;F;Limelight of Pacilak;PER d 03;29-03-1990;FD RX REG 1406;;;11689;PER f 03
6260;M;Blue Felicity's Felix;SIA e;09-11-1988;FD LO 53773;15698;OSH d;6259;SIA w 67
6265;F;Aya af Xique DK;SIA b;05-02-1989;FD LO 56914;15237;SIA a;15346;OSH b
6333;F;T'ai Chi Yin Tayari DK;SIA b;20-01-1992;FD LO 66363;6428;OSH c;18830;OSH b
6410;M;Sphinx Zigzag;SIA b 21;15-11-1990;FD LO 61310;3404;OSH b 24;7005;SIA b
6426;F;Paulette af Bajang;OSH n;12-06-1987;FD LO 48385;5525;SIA n;18107;OSH a
6657;F;DK Player's Rambling Rose;OSH n;02-12-1993;FD LO 74565;33126;OSH n;34765;SIA n
6677;F;DK Player's Duchess;OSH g;25-11-1990;FD LO 61024;6260;SIA e;6258;OSH n
6714;F;Salween Blue's Vilma;OSH a;19-11-1983;FD LO 36171;10135;SIA a;15362;OSH c
6719;M;Nissen's Vally;SIA b;14-10-1990;FD LO 61202;5532;SIA n;6714;OSH a
6805;F;Jutlandia's Nikita;SIA b 21;10-03-1989;FD LO 54932;15399;OSH n 24;5915;SIA n
6849;F;Uruguay Gigi Thorninger;SIA a 21;06-07-1988;FD LO 52562;9836;SIA n 21;16504;OSH a 24
6916;F;Valentina af Bajang;SIA a;27-07-1990;FD LO 61121;13662;OSH n;3382;OSH a
6969;F;Pescara Lilac Deborah;SIA c;21-10-1989;FD RX 6375;2040;SIA a;21776;BAL a
6978;F;Felina af Langbakken;OSH c;...;FD LO 40200;1132;OSH n;67;SIA n
6981;M;Pendaway Apollo;OSH b;...;FD LO 32815;15353;OSH b;7396;SIA n
6988;F;Takiki Sayonara;OSH b 24;...;GCCF CSSR 001869;6982;SIA b 21;6984;OSH b
6991;M;Tanholt' Kompromis;OSH d 25;...;FD RX 4484;3230;OSH d;15609;XSH n 25
7005;F;Sphinx Moonspice;SIA b;19-08-1988;FD LO 53113;31024;OSH b;205;OSH b 24
7037;M;Gaynells Kymin of Tassam;SIA n;...;CFA 1272-300920 V0586;22149;BAL a;36912;SIA n
7102;M;Jo-Jo vom Rococo Schloss;SBI e;...;1.DEKZV LO 082355;8799;SBI e;8801;XLH
7126;M;DK Diamond's Mr. Barny;XLH ns 11;08-05-1994;FD RX REG 1733;18458;BSH ns 11;50749;PER ns 11
