4266;M;Kehar af Xique DK;OSH a;19900311;FD LO 60360;15237;15237;SIA a;4257;OSH n
4268;F;Lara af Xique DK;SIA n;19900524;FD LO 60362;15237;15237;SIA a;4263;SIA n
4269;F;Bella af Xique DK;SIA c;19900528;FD LO 60363;15237;15237;SIA a;15346;OSH b
4271;M;Likita Sigurt;SIA c;19901021;FD LO 60955;1975;1975;SIA n;19536;SIA c
4272;F;Allegretto's Nilaus;OSH b 24;19920214;FD LO 66274;19089;19089;OSH n 24;8039;OSH c
4273;M;Jutlandia's Goliat;SIA e;19870604;FD LO 47360;6415;6415;SIA a;733;SIA g
4311;F;Tanholt' Finke;OSH n;19861222;FD LO 46051;3238;3238;OSH a;1189;OSH f
4314;M;DK Haslund's Harry;OSH b 24;19900506;FD LO 59504;11746;11746;OSH b 24;25705;OSH b 24
4316;M;Jawhara's Luigi;OSH c;19900803;FD RX 6768;1364;1364;BAL c;19144;OSH c
4317;M;Jawhara's Leros;OSH c;19900803;FD RX 6769;1364;1364;BAL c;19144;OSH c
4381;F;Blue Felicity's Luna;SIA d;19910817;FD LO 64625;15698;15698;OSH d;32527;SIA f
4396;F;Klingeskov's Piperi;SIA n;19880409;FD LO 51199;17991;17991;SIA n;15189;SIA n
4439;F;DK Micheyl's Camilla;OSH n 25;19901219;FD RX 7069;47469;47469;OSH bs 25;23504;BAL n
4456;M;Baldrian Mie-mie DK;OSH b;19900726;FD LO 60141;20222;20222;SIA c;7355;OSH n 24
4498;F;DK Pi-Hai's Blue Bonzai;SIA a;19880624;FD LO 51831;8302;8302;SIA a;7257;SIA a
4522;M;DK Omikron Føniks;SIA n;19920629;FD LO 68110;9369;9369;SIA b;15179;SIA n
4549;F;Jutlandia's Queenie;SIA g;19891222;FD LO 58272;15313;15313;SIA n;2964;SIA g
4567;F;DK Linaya's Aloha;SIA n;19900820;FD LO 60465;2388;2388;SIA n;3884;SIA n
4577;F;DK White Galla's Brown Gnist;SIA n;19871103;FD LO 49948;10135;10135;SIA a;11405;SIA w 67
4578;M;Anis 90-122;SIA a;19900817;FD LO 60460;4147;4147;OSH a;4577;SIA n
4581;M;Alfi 90-125;OSH a;19900817;FD LO 60463;4147;4147;OSH a;4577;SIA n
4609;M;Allegretto's Pea-Nut;SIA n;19910202;FD LO 61922;20222;20222;SIA c;18278;SIA n
4615;M;Nissen's Juan;SIA n;19870928;FD LO 49510;7450;7450;OSH n;15206;SIA n
4666;M;DK Omikron Deneb Kaitos;SIA n;19920211;FD LO 66261;4695;4695;SIA a;15179;SIA n
4695;M;Frederiksværk's Johny;SIA a;19850616;FD LO 40989;2138;2138;SIA n;15277;SIA c
4736;F;Pendlemist Tutti Frutti;OSH h;19870430;FD LO 48269;1215;1215;OSH n;1216;SIA h
4740;M;Blue Felicity's Easy-cat;OSH n;19880929;FD LO 53340;15698;15698;OSH d;4739;SIA f
4742;F;Blue Felicity's Jeanie;OSH n;19900730;FD LO 60481;4740;4740;OSH n;4788;OSH h
4743;M;Blue Felicity's Jerry;OSH d;19900730;FD LO 60482;4740;4740;OSH n;4788;OSH h
4745;M;Blue Felicity's Kermit;OSH d;19900904;FD LO 60484;4740;4740;OSH n;15700;SIA f
4752;F;DK Feles Grata DesDemona;OSH b 25;19950218;FD RX 10340;47469;47469;OSH bs 25;47581;OSH cs 25
4757;F;Ulrikke af Bajang;SIA n;19900807;FD LO 60742;5532;5532;SIA n;17112;SIA n
4770;F;Bellamis' Juanita;SIA d;19860306;FD LO 43142;63685;63685;SIA d;71680;SIA d
4772;M;Rarmis 90-129;OSH b;19900724;FD LO 60493;4849;4849;OSH b;16493;SIA n
4775;M;DK Haslund's Max;OSH n 24;19920218;FD LO 66439;7986;7986;SIA n;25705;OSH b 24
4788;F;Blue Felicity's Dixie;OSH h;19870730;FD LO 48878;31024;31024;OSH b;91;SIA d
4824;F;DK Ragtime's Blue Vapper;SIA a;19890807;FD LO 56544;13864;13864;SIA a;13086;SIA w 67
4849;M;Fleuretto bronze Misha;OSH b;19881219;FD LO 54022;4603;4603;OSH n;4604;OSH b
4895;M;Bellamis' Calvin Klein;SIA d;19920416;FD LO 67109;26158;26158;SIA b;20192;SIA d
4928;M;Nero von ST. DK;SIA b;19940407;FD LO 75820;60684;60684;SIA n;11255;SIA n
4943;F;Winnetou's Tigret Deanna;OSH a 23;19900509;FD LO 59722;15395;15395;OSH n 24;870;OSH a 24
4954;M;DK Dreier's Baldrian;SIA n;19920106;FD LO 65978;7986;7986;SIA n;18224;SIA a
4955;M;Indigo Dark Ricky;SIA n;19920723;FD LO 70322;26122;26122;SIA n;26121;SIA n
4972;M;DK Mozart's Asterix;SIA n;19900713;FD LO 59940;3470;3470;OSH n;31955;OSH n 24
4978;M;DK Syvagergård's Pimse;SIA a;19900522;FD LO 61134;6519;6519;SIA a;6520;SIA g
4980;F;DK Haslund's Mille;OSH b 24;19900506;FD LO 59501;11746;11746;OSH b 24;25705;OSH b 24
4981;F;Persille Mie-mie DK;OSH n;19900726;FD LO 60140;20222;20222;SIA c;7355;OSH n 24
5026;F;Natasha Al Kattá;SIA b;19890413;FD LO 55269;6128;6128;SIA b;9163;SIA n
5035;M;DK Byvangen's Dempsey;SIA n;19920401;FD LO 67330;23810;23810;SIA n;29582;SIA w 67
5126;M;Silver Lucky af Fuga;OSH ns;19910307;FD LO 63285;18111;18111;OSH n 24;46862;OSH ns
5208;M;Elvis 94-79;SIA n;19940415;FD LO 75716;7986;7986;SIA n;34592;SIA b
5217;M;Theo Braun Brimiso;SIA n;19910821;FD LO 64635;60684;60684;SIA n;59908;SIA n
5312;M;Dan-Thai's Jeremy;SIA n;19910824;FD LO 64485;9716;9716;SIA n;20432;SIA n 21
5335;M;Hamilton's choco Ricky-Dicky;SIA b;19901226;FD LO 61918;17192;17192;SIA b;15303;SIA h
5345;M;Sphinx In the Pink;SIA d 21;19931113;FD LO 74545;23266;23266;SIA n 21;1121;SIA h 21
5355;M;Misriya's Zeppo;OSH n 24;19950225;FD LO 79740;43834;43834;OSH b 24;38277;OSH a 24
5366;F;DK Player's Odds on Olympia;OSH b;19930611;FD LO 72127;33126;33126;OSH n;47650;SIA b
5371;F;DK Moonlight's Tanja;SIA n;19900520;FD RX 6721;2425;2425;SIA n;12015;SIA n
5399;M;Winnetou's Tarek;SIA n;19911024;FD LO 65517;7939;7939;SIA d;12961;SIA h
5410;M;Winnetou's Fire-Fox;SIA d;19890622;FD LO 56147;15395;15395;OSH n 24;50244;SIA h
5489;F;Pegasus Belamy;OSH a;19840716;FD LO 37812;15237;15237;SIA a;15361;OSH a
5514;F;Alfa af Aros DK;SIA a;19900813;FD LO 60745;10135;10135;SIA a;15240;SIA a
5517;F;Antina af Xique DK;SIA c;19900530;FD RX 6764;1364;1364;BAL c;6265;SIA b
5532;M;Nissen's Lord Nelson;SIA n;19880217;FD LO 50683;5531;5531;SIA n;15274;SIA c
5537;M;Nissen's Uranus;SIA a;19900713;FD LO 60472;4615;4615;SIA n;15274;SIA c
5550;F;Afrodite af Aros DK;SIA a;19900813;FD LO 60746;10135;10135;SIA a;15240;SIA a
5559;F;DK Omikron Hawai;SIA n;19940413;FD LO 75957;22558;22558;SIA n;21333;SIA a
5571;M;Sun Read Jacque;SIA b;19900729;FD LO 60296;17192;17192;SIA b;25420;SIA n
5576;M;Amigo af Xique DK;SIA c;19900530;FD RX 6762;1364;1364;BAL c;6265;SIA b
5589;F;Sphinx Quality Street;OSH b;19890811;FD LO 56823;3238;3238;OSH a;30289;SIA h
5643;M;DK Dancer Bølle;SIA b;19930910;FD LO 73674;23794;23794;SIA d;37467;SIA n
5659;M;Bellamis' Cartier;SIA d;19920416;FD LO 67110;26158;26158;SIA b;20192;SIA d
5664;M;Sphinx Zodiac;SIA b 21;19901115;FD LO 61311;3404;3404;OSH b 24;7005;SIA b
5669;F;DK Ebony's Cibbi;OSH n;19901007;FD LO 61130;18111;18111;OSH n 24;4311;OSH n
5670;M;Likita Kasper;SIA n 21;19880121;FD LO 50159;1975;1975;SIA n;1350;SIA n 21
5671;M;DK Mozart's Apollon;SIA n 21;19900713;FD LO 59938;3470;3470;OSH n;31955;OSH n 24
5672;M;Nissen's Sunny Boy;SIA b;19900106;FD LO 58295;5532;5532;SIA n;5965;OSH n
5716;M;Røde Axel af Bajang;OSH d 25;19930410;FD LO 71605;7797;7797;OSH d 24;25533;OSH d
5717;M;Calvados 94-96;SIA n;19940321;FD LO 76038;22558;22558;SIA n;17696;SIA n
5740;M;Likita Sam;SIA b;19901021;FD LO 60954;1975;1975;SIA n;19536;SIA c
5763;M;DK Kærbygården's Charley;SIA a;19950607;FD LO 81655;280;280;SIA a;43727;SIA n
5765;F;Usara Naryschkina*D;SIA w 67;19920802;FD LO 68684;23005;23005;SIA n;38861;SIA w 67
5841;M;Canasta's Patrich;OSH b;19900807;FD RX REG 1417;5532;5532;SIA n;27994;OSH b
5842;M;Canasta's Benjamin;OSH b;19900807;FD RX REG 1418;5532;5532;SIA n;27994;OSH b
5843;M;Canasta's Sylvester;OSH n;19900807;FD RX REG 1419;5532;5532;SIA n;27994;OSH b
5844;M;Canasta's Rickie;SIA n;19900807;FD RX REG 1420;5532;5532;SIA n;27994;OSH b
5845;M;Canasta's Alexander;SIA n;19900807;FD RX REG 1421;5532;5532;SIA n;27994;OSH b
5856;M;DK Mondial's Malle;SIA n;19910514;FD LO 63208;10471;10471;SIA w 67;13302;SIA n
5858;M;DK Mefisto's Sokrates;SIA a;19980701;FD LO 97341;42078;42078;SIA a;61403;SIA n
5870;F;Misriya's Tabby Melissa;SIA n 21;19900822;FD LO 61092;30446;30446;OSH n 23;15448;SIA n 21
5872;M;DK Mondial's Mads;SIA b;19910514;FD LO 63207;10471;10471;SIA w 67;13302;SIA n
